Organism,Phylym,Gender,Specie,Collection,Color of the mycelium,Pigmentation of the medium,Outline of the colony,Density of the mycelium,Aerial mycelium,Special structures,Exudates,Meiospores,Septa,Mitospores,Sporogenesis,Color of the mitospores,Form of the mitospores,Number of cells,Disposition of mitospores,Regroupment of mitospores,Color of the colony,Form of the blastospores,Photo genre,Photo micro genre,Dessus,Dessous,Photo micro
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria infectoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,bad quality but Penicillium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage puis PCR pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage puis PCR pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
Filamentous,Ascomycète,Acremonium,breve ,FungiSem,,,,,,,,,,,,,,,,,,,dessus_Acremonium_breve,micro_Acremonium_breve,dessus_Acremonium_breve,dessous_Acremonium_breve,micro_Acremonium_breve
Filamentous,Ascomycète,Alternaria,alternata,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_alternata,dessous_Alternaria_alternata,conidies_Alternaria_alternata
Filamentous,Ascomycète,Alternaria,brassicae,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,,,micro_Alternaria_brassicae
Filamentous,Ascomycète,Alternaria,brassicicola,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_brassicicola,,conidies_Alternaria_brassicicola
Filamentous,Ascomycète,Alternaria,chico,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_chico,dessous_Alternaria_chico,
Filamentous,Ascomycète,Alternaria,citri,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_citri,,micro_Alternaria_citri
Filamentous,Ascomycète,Alternaria,consortialis,GEVES,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,,,micro_Alternaria_consortialis
Filamentous,Ascomycète,Alternaria,crassa,FungiSem,White/grey,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_crassa,dessous_Alternaria_crassa,micro_Alternaria_crassa
Filamentous,Ascomycète,Alternaria,cucumerina,GEVES,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_cucumerina,,
Filamentous,Ascomycète,Alternaria,dauci,FungiSem,Brown/black,No,irregular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_dauci,,micro_Alternaria_dauci
Filamentous,Ascomycète,Alternaria,ethzedia,FungiSem,White/grey,Yes,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_ethzedia,dessous_Alternaria_ethzedia,micro_Alternaria_ethzedia
Filamentous,Ascomycète,Alternaria,grandis,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_grandis,dessous_Alternaria_grandis,micro_Alternaria_grandis
Filamentous,Ascomycète,Alternaria,helianthi,GEVES,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_helianthi,,micro_Alternaria_helianthi
Filamentous,Ascomycète,Alternaria,infectoria,FungiSem,White/grey,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_infectoria,dessous_Alternaria_infectoria,
Filamentous,Ascomycète,Alternaria,japonica,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_japonica,,micro_Alternaria_japonia
Filamentous,Ascomycète,Alternaria,linicola,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_linicola,,micro_Alternaria_linicola
Filamentous,Ascomycète,Alternaria,longipes,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,,,
